,stability_sc
003TCdes,-0.2735038763221819
008TCdes,-0.6479492874273708
010TCdes,-0.3063054365472402
012TCdes,-0.2746127882500417
013TCdes,-0.31571095839589697
015TCdes,-0.3308226059425799
016TCdes,-0.3068405270362706
017TCdes,-0.19201389155091042
019TCdes,0.013389034901677253
020TCdes,-0.7577949097291241
023TCdes,-0.28867423261702585
024TCdes,-0.3582625763064314
027TCdes,-0.3966285506204242
028TCdes,-0.39276556179049116
030TCdes,-0.33327406603347653
035TCdes,-0.09278771493447685
037TCdes,-0.34028222377132833
040TCdes,-0.3220131087885377
042TCdes,-0.5470648395609061
043TCdes,-0.1637473595250532
051TCdes,-0.5196868039044873
052TCdes,-0.31837510966017374
055TCdes,-0.2983091942980924
058TCdes,-0.49737149457149443
061TCdes,-0.15422356264226636
062TCdes,-0.3768227849297463
064TCdes,-0.06448743332457735
065TCdes,-0.29530237403190585
069TCdes,-0.7273817375693488
073TCdes,1.8744355936282426
075TCdes,-0.03614343644397619
076TCdes,-0.2894193620122884
077TCdes,-0.3002110267334424
078TCdes,-0.5602362761736286
083TCdes,-0.11886880897329101
084TCdes,-0.22233086419085432
087TCdes,-0.07104729410067231
088TCdes,-0.22425875755285588
092TCdes,1.3139319226139863
097TCdes,-0.3998462349731463
101TCdes,0.9674823374315821
BB45CHm0000,0.4753512070941308
BB45CHm0006,0.5691208826439884
BB45CHm0015,0.4285310415374588
BB45CHm0016,-0.10417429707333599
BB45CHm0018,-0.03257060255523725
BB45CHm0021,0.1756807654244643
BB45CHm0022,0.11979311757420046
BB45CHm0025,0.025953067637838702
BB45CHm0027,0.35079157928997357
BB45CHm0029,0.0813333868729208
BB45CHm0034,-0.20942054818236663
BB45CHm0036,0.00748118960896049
BB45CHm0040,-0.03737732141258326
BB45CHm0041,0.5230183552514679
BB45CHm0047,0.41108252306210147
BB45CHm0048,1.408427180238482
BB45CHm0051,-0.21278454930631657
BB45CHm0055,0.34524789957272173
BB45CHm0056,0.12362989096042769
BB45CHm0057,-0.0187094864488416
BB45CHm0059,0.15227203890752392
BB45CHm0061,-0.014325405476204447
BB45CHm0077,1.4358744453941248
BB45CHm0078,0.4591920177071669
BB45CHm0079,-0.267084896344224
BB45CHm0085,1.0965826481230383
BB45CHm0087,-0.24021387448192225
BB45CHm0093,-0.18826300804578042
BB45CHm0094,-0.02348069899603823
BB45CHm0097,0.34636807280437815
BB45CHm0098,0.5342605313413873
BB45CHm0110,0.3852850418303723
BB45CHm0117,-0.1660520629544315
BB45CHm0119,1.103850684146869
BB45CHm0122,-0.07715033103606571
BB45CHm0125,0.026547903508507775
BB45CHm0133,-0.05494500823018408
BB45CHm0136,0.11165790390305384
BB45CHm0140,0.6193748543334555
BB45CHm0145,0.6981339237833409
BB45CHm0146,-0.12811192650402162
BB45CHm0153,0.1182100811643619
BB45CHm0158,0.5820917610921923
BB45CHm0159,-0.25095424968388963
BB45CHm0163,-0.01348575236645079
BB45CHm0164,1.0308879912516788
BB45CHm0165,0.37622542413334964
BB45CHm0167,-0.3249362116192622
BB45CHm0168,0.5950806642844114
BB45CHm0176,0.9662578771897943
BB45CHm0180,0.8457431786974988
BB45CHm0181,-0.24475467645205454
BB45CHm0191,-0.2537181428900606
BB45CHm0194,-0.2500332792312076
BB45CHm0199,0.03357367255168677
BB45CHm0202,0.2088631195610977
BB45CHm0209,0.01791946052574104
BB45CHm0210,-0.08759036589956329
BB45CHm0211,-0.03341025566499097
BB45CHm0217,-0.21471633245846267
BB45CHm0219,0.12124702274161957
BB45CHm0223,1.0593149479203736
BB45CHm0229,1.5721087936546905
BB45CHm0233,-0.21147811320862586
BB45CHm0234,0.4548399248468259
BB45CHm0239,0.6679082267213051
BB45CHm0240,-0.0740298584189706
BB45CHm0243,0.4784822484787695
BB45CHm0246,0.30799006998157513
BB45CHm0252,0.3160733110427563
BB45CHm0262,1.0237507056462292
BB45CHm0263,0.5224287963294709
BB45CHm0265,-0.11765571031320994
BB45CHm0271,0.008144374926551711
BB45CHm0275,0.33760481903913586
BB45CHm0276,0.8162786534507706
BB45CHm0282,-0.24008676028019912
BB45CHm0284,-0.39348833209329226
BB45CHm0289,1.0420081793566869
BB45CHm0290,-0.022190570608783943
BB45CHm0296,0.06253856700784097
BB45CHm0304,0.05404632609875863
BB45CHm0305,-0.09396549393042643
BB45CHm0311,-0.460285307754045
BB45CHm0318,-0.1547216433687989
BB45CHm0319,0.4505739575220545
BB45CHm0325,0.5205809764431677
BB45CHm0328,0.6801164896329966
BB45CHm0329,-0.08902843503003019
BB45CHm0334,-0.049134962016992946
BB45CHm0339,1.093152555614386
BB45CHm0344,-0.044363749469796265
BB45CHm0347,0.49285808427883315
BB45CHm0349,1.393058592553575
BB45CHm0351,1.0233703846935507
BB45CHm0353,0.9701398400693831
BB45CHm0354,-0.18079327289918687
BB45CHm0356,0.15235400808000793
BB45CHm0357,0.018587210526310332
BB45CHm0359,-0.06484508059718543
BB45CHm0361,0.9692436670288419
BB45CHm0365,0.8953304266182014
BB45CHm0370,-0.23299703584764486
BB45CHm0371,-0.6317459512280824
BB45CHm0372,-0.2798769369178951
BB45CHm0375,0.8057405369208039
BB45CHm0379,0.11927423914911255
BB45CHm0382,-0.15384419117333742
BB45CHm0384,-0.2730293477057613
BB45CHm0385,-0.15957817635296107
BB45CHm0388,1.4778067698663968
BB45CHm0389,-0.05944026927147159
BB45CHm0390,-0.2796649662378786
BB45CHm0391,-0.1389830730718065
BB45CHm0392,0.8103368172874477
BB45CHm0393,1.3828640584535967
BB45CHm0395,-0.15897614697785656
BB45CHm0396,0.11743606534488184
BB45CHm0405,0.2074754430971702
BB45CHm0406,0.0842530796712799
BB45CHm0407,0.2715367612620187
BB45CHm0408,0.3429221745515359
BB45CHm0409,1.3777537418176196
BB45CHm0415,0.13232224107957946
