,stability_sc
tlc_AUCEQRDK,0.7836370866
tlc_BLXSMPYF,1.02730280652
BUANXPMQ,1.41940818927
KCTCUSBS,0.918509106768
JKIEGQWS,2.03285435195
HOXDQPOH,0.77165264438
OUNPCISL,2.13060089013
IHHPGJHX,0.675749848313
OSFMCYZI,1.69904687766
NAEGMTNY,1.56869649878
IRNAJDGL,1.85654526135
scr_UGDFCJXZ,0.0589461831754
scr_LJZWISDF,0.882802052551
OEORFATG,0.590527399195
RCPNXDEE,1.14779728897
scr_JDTYVXRP,1.46830674923
scr_AWHGSEUB,0.336563097052
BQXXYJMW,0.661508061287
SJSTXBMK,1.19405840781
QZFIQMXG,2.13018346093
BUEVLOQB,1.59315792326
GWJAURAG,2.58877614784
LXGEBJKF,1.20422732784
PDKMSFJN,1.52199950462
scr_HOCMSMEK,0.954837013606
JBKFTTPK,1.52178063222
UISTXLGY,1.65154824024
PUQPLNRB,1.46640362204
scr_LNXCUJHR,0.36173854889
PSZYFNHZ,0.926775194737
BITSRLTJ,1.38473562221
ZVDZPMEJ,1.06658920664
scr_DFACGQCE,0.925713690398
ICRVHSMN,1.38469523632
scr_BNGCZUGR,1.23595531894
KDHLWMWY,1.66033858849
TCTCCIWC,1.94769224775
RGAJIRRV,1.07385875682
NZJKGEKU,2.0332650096
JAMVXYJX,1.6424755412
LDHSVUYC,1.22143044569
ZTACXMYA,1.50510235925
DYDKOGKN,2.11402290494
BBMHCYm0349,0.715434307148
DZUQLIYC,1.91779614382
AMPJUKLN,0.822498039999
YTZFUHZY,0.578333450058
VBLODYFL,1.15870096205
LIQUBIML,1.67935970346
KNUTURGB,0.578577929571
HCJIGYAB,1.28183669952
AETFDDAX,0.992272762189
LKRWBYEO,1.99076531825
WTMZBCES,2.1337870614
DFVDIKFV,2.43956795838
BFDDMIUD,0.755151023695
scr_JTCUMNCJ,0.477166519748
PPRUTFWH,1.32764990368
RMYJKNHH,1.77731030638
CLGDMNSV,1.23181495739
YIJZNLJQ,2.16873965174
OAMCWAUF,1.06028369871
DGKLMBMD,0.197826862007
CTQKCTVL,2.37709180547
EXYQHENK,1.1838197387
IHKFRKQR,1.03608395449
MLNCTGAP,0.610679995275
FHQXSKQL,2.01053805279
NTFTFRIP,1.63904749945
IOHLCSUX,1.50492937607
OAWVHOSF,2.17160140263
IDIVNBMA,2.10497574043
QDMELFZI,2.47773202541
CZTHXJWN,1.46613595365
ESBZPHEE,2.51315611655
BWPOWSZJ,2.62784353081
HNXRGGTO,1.69376303159
FKKFYOOV,2.3175201489
scr_OGVJFUVT,0.807079567307
scr_MSHSBHEL,1.09973689617
scr_DHEJGQBC,-0.014769162082
tlc_MJZMWTKT,-0.0152304618269
JUWGIUKS,1.0171881429
NNRQQMNA,1.14911010914
ADBKTANY,0.850577219823
ODPAAPFF,2.03771221992
DPLFNRAM,2.27508294629
UFTGIJAJ,0.811262040977
BROUHTKG,1.46837929326
scr_DKZHMLKA,0.985505798253
PJPGTHYO,2.02264868526
CJHXUGAD,0.552226561043
UFIWVZYU,0.207943307269
LHTJZDXJ,2.6756339699
JMXPWITE,1.28999302064
scr_HPEJYHEM,0.00283634379645
MVGZMQSL,1.22827944072
scr_CFVRIXIT,0.91471162242
grc_NLHJJODB,2.0105356751
IGHSPLZJ,2.16428823291
VIMSQLRR,2.29801182163
EFQPIVPR,1.90073461993
scr_MPCWUIAX,0.248208120094
EFCOKADV,1.02126361885
OQOVOKFZ,-0.116333300133
DYAAKTVM,1.46924577753
tlc_WFTAKRXM,2.09959286131
MBXFNWLB,1.4356554183
FZXHBPYE,1.15285915331
SEDFPHJV,0.589964101869
TDGOZQKR,1.34286272816
TLPUSICD,1.60128154006
DBRCTDOW,1.16373330609
VWXLMPCJ,2.32991588698
KNLRAXNP,1.25150157517
WUKGLUIB,1.11324438165
OCRQDVWM,1.36019338674
scr_TRTKFGNV,0.708297340387
GDXSZSLF,1.40878629962
KHQRBQHO,1.68608086475
USBKNHTC,1.0284527808
RTHSDLVX,0.0374571237741
scr_UUJYSLQS,-0.113578026383
scr_HTAOVSJF,0.338567551819
AOGYUAZL,-0.102839530907
EGZSKRPB,1.33029243487
ACNGOVUD,2.14696815115
HHQYKTJM,1.92922933749
EBBICXGL,1.22949312387
scr_CYHDDJST,1.34462095603
scr_OGXSBYSB,0.310936373163
BCCUPOKC,1.6667018898
IUPVJBXX,2.08031775825
USXCOZTQ,1.38317014499
IHSRSSAS,2.21582078798
HDRHXPBG,1.62823431501
QQFYQGHL,2.54002137014
MYCLFQZQ,2.13937448751
QWFOXEFZ,0.749781916521
TWCJARSW,1.54872354149
scr_EORWFPHJ,0.0643801239182
YLCFDDHX,1.6614858282
HDHORWMF,1.42320095588
BBZZDVXO,0.0354810145736
LQMZQVOE,1.00607062068
ZLABAOLP,1.40711755918
RNMXLPKM,0.284125183635
DYRBIXHW,1.0545241422
DVXCFAKK,1.3586241435
CILRNLMT,0.695261857866
CRSAIDOQ,1.40095497743
scr_BIHMJQYR,0.36307347593
scr_SQEFSKZW,0.924806392655
ELGXZZYQ,0.795290429091
scr_BLVAKDCH,1.54171505145
scr_LRVQLXCO,-0.07183393803
HUEVGLNM,1.23039477289
CTADJKWZ,0.415738301968
JWFVRFCU,2.26473274556
CYEUFKLT,1.00102545189
POPCNUUX,2.11496232591
EWFWJNEU,0.316630314077
scr_VEKICXDM,0.269811545993
AXTSBEYF,1.07802719552
SIIWEHHO,1.10077523465
MHMUMWNB,1.40471176992
BVMOGZVC,0.105897750788
IEUIZZQY,1.01607932826
NLAVJISA,1.01049890332
MMQHRGXO,1.23205749412
DVYEGCGG,1.7485272538
GOCSYEVV,2.58912309065
STQKBSRK,1.27239716168
grc_ETWAKLMH,1.46013745527
HHURTCIC,1.47289235444
DOZNFBCX,0.281074850724
YGPDKGFT,2.04254490028
FXNXCIDR,1.45929888491
RFOHHCEO,2.21432425084
XINJQFYS,1.3201947884
VMVOWOTJ,2.58199133776
scr_JFUYQECM,0.757277201243
MOJNCMHG,1.18677702096
OWBNNWNV,1.05665507326
ODEIBHGX,2.50788263321
scr_EXZCQQAU,0.893610944401
scr_EKVFFAWP,0.475207280373
MYIKMBAE,2.00992372538
VIVNFAHS,1.04189650111
OUFLBDEH,1.3901436806
AIPVMYSQ,1.32654263527
tlc_LLGMKOMI,0.707973268162
BJLDYEIA,1.74227501838
NCAOTVHW,1.68480815918
YFMPTJQE,1.43188610396
scr_RMGWCTZZ,0.485188676049
KNHUWXPL,1.51710966374
QSBCHDWG,2.13527164859
FXJPEFXI,1.54324561181
MNTSZFJY,1.14647647024
NBNHDDKK,0.800861882373
scr_IONBNUTP,0.0902155436463
grc_NOAPKHAX,1.35074492237
NXNQKOJX,2.43418535025
UERZTURY,1.22363332223
ADHNSYIR,1.94148044667
RCCRDIHE,0.419898143514
VLCSTWDA,0.527762535764
IAMIIFAI,0.686431441493
BCMOPTIO,1.49304278746
scr_RTZDCQKB,0.321398678118
