,shoot,short_arm,long_arm_ang,dist,base,main_bulge_curve,long_arm,sheet_type,prot,len,sec_bulge,path,x,y
nat_d1gy6a_,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d1gy6a_.ent,27.582447052001953,-6.368397235870361
nat_d1gy7a_,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d1gy7a_.ent,27.28300666809082,-5.731384754180908
nat_d1hkxa_,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d1hkxa_.ent,-9.34146785736084,-39.43756103515625
nat_d1idpa_,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d1idpa_.ent,-11.016497611999512,-41.02750015258789
nat_d1jkga_,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d1jkga_.ent,-8.95295524597168,-35.44960403442383
nat_d1jkgb_,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d1jkgb_.ent,-14.569933891296387,-47.53156661987305
nat_d1m98a2,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d1m98a2.ent,-14.041988372802734,-42.694129943847656
nat_d1nwwa_,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d1nwwa_.ent,-25.86578941345215,-25.19565200805664
nat_d1o7nb_,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d1o7nb_.ent,-13.192068099975586,-51.253292083740234
nat_d1of5a_,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d1of5a_.ent,-14.573432922363281,-46.77471923828125
nat_d1of5b_,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d1of5b_.ent,-9.847736358642578,-37.66610336303711
nat_d1oh0a_,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d1oh0a_.ent,-2.87735915184021,16.47842025756836
nat_d1ohpa_,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d1ohpa_.ent,-2.9132301807403564,16.555320739746094
nat_d1q40a_,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d1q40a_.ent,-14.648802757263184,-48.81196212768555
nat_d1q40b_,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d1q40b_.ent,-14.979642868041992,-51.58443832397461
nat_d1s5aa_,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d1s5aa_.ent,-26.03152847290039,-24.182601928710938
nat_d1sjwa_,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d1sjwa_.ent,-23.952381134033203,-28.737686157226562
nat_d1tp6a_,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d1tp6a_.ent,-9.444494247436523,-40.52478790283203
nat_d1tuha_,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d1tuha_.ent,-3.825643539428711,15.484369277954102
nat_d1ulib_,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d1ulib_.ent,-12.671218872070312,-49.99876022338867
nat_d1vqqa1,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d1vqqa1.ent,-14.855123519897461,-45.287479400634766
nat_d1wqlb1,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d1wqlb1.ent,-13.367572784423828,-50.06605529785156
nat_d1z1sa1,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d1z1sa1.ent,-25.36225128173828,-24.38465118408203
nat_d1zo2a1,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d1zo2a1.ent,27.524919509887695,-6.055619716644287
nat_d2a15a1,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d2a15a1.ent,-23.6356201171875,-24.1605224609375
nat_d2b1xb1,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d2b1xb1.ent,-12.609768867492676,-48.030250549316406
nat_d2bmob1,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d2bmob1.ent,-13.562898635864258,-50.805625915527344
nat_d2bnga1,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d2bnga1.ent,-23.62584114074707,-24.070899963378906
nat_d2cc3a1,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d2cc3a1.ent,-16.253023147583008,-49.576900482177734
nat_d2chca1,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d2chca1.ent,-12.310489654541016,-45.30023956298828
nat_d2ckfb_,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d2ckfb_.ent,-12.94728946685791,-49.30657196044922
nat_d2cw9a1,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d2cw9a1.ent,-14.551815032958984,-53.09035110473633
nat_d2f86b1,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d2f86b1.ent,-8.918977737426758,-38.731239318847656
nat_d2f99a_,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d2f99a_.ent,-23.928312301635742,-28.738292694091797
nat_d2gbwb_,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d2gbwb_.ent,-12.860003471374512,-48.97821044921875
nat_d2gexa1,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d2gexa1.ent,-16.621557235717773,-44.04190444946289
nat_d2geya1,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d2geya1.ent,-16.66873550415039,-43.98599624633789
nat_d2gxfa1,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d2gxfa1.ent,-13.378786087036133,-45.43977737426758
nat_d2i9wa1,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d2i9wa1.ent,-14.3350830078125,-51.71225357055664
nat_d2imja1,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d2imja1.ent,-15.792399406433105,-44.08903884887695
nat_d2k54a1,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d2k54a1.ent,-20.86284637451172,-25.29396629333496
nat_d2owpa1,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d2owpa1.ent,-13.156198501586914,-36.83241653442383
nat_d2qiya_,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d2qiya_.ent,-11.505867004394531,-38.612945556640625
nat_d2r4ia1,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d2r4ia1.ent,-3.748826742172241,-40.899864196777344
nat_d2rcda1,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d2rcda1.ent,-13.169673919677734,-36.85270690917969
nat_d2rfra1,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d2rfra1.ent,-10.459537506103516,-42.060482025146484
nat_d2rgqa1,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d2rgqa1.ent,-7.7602458000183105,-36.332401275634766
nat_d2ux0a1,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d2ux0a1.ent,-9.146279335021973,-38.84823989868164
nat_d2w2ca_,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d2w2ca_.ent,-9.07665729522705,-39.230369567871094
nat_d2yfib_,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d2yfib_.ent,-12.626848220825195,-50.56928634643555
nat_d3b7ca1,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d3b7ca1.ent,-9.243326187133789,-42.598690032958984
nat_d3b8la1,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d3b8la1.ent,-7.962682723999023,-36.378414154052734
nat_d3bb9a1,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d3bb9a1.ent,26.5639705657959,-3.5695743560791016
nat_d3blza1,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d3blza1.ent,-11.911935806274414,-34.72039031982422
nat_d3cnxa1,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d3cnxa1.ent,-7.814072132110596,-35.22353744506836
nat_d3cu3a1,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d3cu3a1.ent,-14.448342323303223,-45.25550079345703
nat_d3d9ra1,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d3d9ra1.ent,27.7227840423584,-7.290709018707275
nat_d3dm8a1,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d3dm8a1.ent,-24.740447998046875,-25.83650779724121
nat_d3dmca1,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d3dmca1.ent,-3.0076568126678467,17.40582275390625
nat_d3duka_,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d3duka_.ent,-11.92349910736084,-34.75132369995117
nat_d3dxoa1,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d3dxoa1.ent,-22.268407821655273,-26.324203491210938
nat_d3e99a1,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d3e99a1.ent,-12.435006141662598,-46.70878982543945
nat_d3ebta1,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d3ebta1.ent,-28.799570083618164,-22.184490203857422
nat_d3ebya1,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d3ebya1.ent,-12.497884750366211,-46.197784423828125
nat_d3ec9a1,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d3ec9a1.ent,-28.796777725219727,-23.554113388061523
nat_d3ecfa1,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d3ecfa1.ent,-23.67800521850586,-27.650632858276367
nat_d3ef8a1,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d3ef8a1.ent,-10.369988441467285,-40.64060592651367
nat_d3ejva1,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d3ejva1.ent,-12.466567993164062,-44.791194915771484
nat_d3en8a1,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d3en8a1.ent,-20.637317657470703,-25.425256729125977
nat_d3er7a1,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d3er7a1.ent,-22.812170028686523,-26.481739044189453
nat_d3fgya_,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d3fgya_.ent,-28.196352005004883,-24.412038803100586
nat_d3fsda_,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d3fsda_.ent,-3.744992256164551,-40.83546447753906
nat_d3g8za_,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d3g8za_.ent,-29.393552780151367,-23.887964248657227
nat_d3grda_,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d3grda_.ent,-28.676959991455078,-23.79092025756836
nat_d3gzyb_,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d3gzyb_.ent,-13.07646369934082,-50.52473831176758
nat_d3mg3a2,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d3mg3a2.ent,-14.010611534118652,-42.52705383300781
nat_d3nv0b_,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d3nv0b_.ent,-12.003463745117188,-38.17982482910156
nat_d3owsa_,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d3owsa_.ent,-2.9875426292419434,16.301645278930664
nat_d3q90a_,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d3q90a_.ent,-8.576720237731934,-34.916748046875
nat_d3qk9a_,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d3qk9a_.ent,-14.681231498718262,-52.831966400146484
nat_d3stda_,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d3stda_.ent,-11.516857147216797,-41.46080017089844
nat_d3ujma_,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d3ujma_.ent,27.083032608032227,-5.123789310455322
nat_d4akza_,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d4akza_.ent,-15.840423583984375,-49.964996337890625
nat_d4cdla_,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d4cdla_.ent,-3.3764290809631348,15.133201599121094
nat_d4j8ta_,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d4j8ta_.ent,-25.135623931884766,-24.388591766357422
nat_d4jf8a_,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d4jf8a_.ent,-15.910919189453125,-50.41117477416992
nat_d4kz1a_,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d4kz1a_.ent,-16.629547119140625,-49.72824478149414
nat_d4lsoa_,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d4lsoa_.ent,-16.619525909423828,-50.02177429199219
nat_d4nhfa_,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d4nhfa_.ent,-15.975311279296875,-50.66511154174805
nat_d4r9ka_,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d4r9ka_.ent,-25.9060001373291,-25.14851188659668
nat_d4r9kc_,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d4r9kc_.ent,-25.682815551757812,-26.382488250732422
nat_d4r9lb_,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,/home/basantab/NTF2_project/20190710_all_vs_denovo_TMscore/Chip2_diversity/natives/d4r9lb_.ent,-25.789716720581055,-25.861425399780273
den_AAADACGD,36.97361413330964,2,106.25460481931303,19.99977484215454,3,3,2,4,-8.923870869609566,107,0,/home/basantab/NTF2_project/20181119_GenerativeAlgorithm40Kbbs/121_or_less_aas/AAADACGD_BasicBeNTF2_designed_0000.pdb,6.9367499351501465,-40.68849563598633
den_AACPTAZL,84.11405322665156,2,15.389770642012396,20.565651496837777,3,3,4,22,6.429541972841562,117,1,/home/basantab/NTF2_project/20181119_GenerativeAlgorithm40Kbbs/121_or_less_aas/AACPTAZL_BasicBeNTF2_designed_0000.pdb,0.09007670730352402,-34.31148910522461
den_AADKWKIP,42.28510421556351,2,104.20803616156286,24.773021947700137,5,2,2,31,-8.808019179289417,119,0,/home/basantab/NTF2_project/20181119_GenerativeAlgorithm40Kbbs/121_or_less_aas/AADKWKIP_BasicBeNTF2_designed_0000.pdb,10.669461250305176,-3.7060546875
den_AADYOCDM,70.36627691762621,2,21.94297840581389,24.75348859698775,3,3,4,19,6.947186382771802,121,1,/home/basantab/NTF2_project/20181119_GenerativeAlgorithm40Kbbs/121_or_less_aas/AADYOCDM_BasicBeNTF2_designed_0000.pdb,27.13559341430664,8.935640335083008
den_AAEHACVP,61.30784560504689,2,33.98726029415796,20.47542055202515,3,2,3,6,0.09748805729161347,111,1,/home/basantab/NTF2_project/20181119_GenerativeAlgorithm40Kbbs/121_or_less_aas/AAEHACVP_BasicBeNTF2_designed_0000.pdb,0.3996773362159729,-22.605701446533203
den_AAERWEVX,21.5333429779067,1,69.44685697450548,25.971780497448396,5,2,3,37,-5.281014709161116,115,0,/home/basantab/NTF2_project/20181119_GenerativeAlgorithm40Kbbs/121_or_less_aas/AAERWEVX_BasicBeNTF2_designed_0000.pdb,7.568950176239014,33.73139190673828
den_AAEVPXPD,71.66735001623883,2,22.316592253621614,25.56187193701526,3,2,4,17,4.337265131028255,121,1,/home/basantab/NTF2_project/20181119_GenerativeAlgorithm40Kbbs/121_or_less_aas/AAEVPXPD_BasicBeNTF2_designed_0000.pdb,51.11616897583008,-9.022257804870605
den_AAFPICGK,51.37496420635975,1,47.51930049842538,25.625797335520392,5,2,3,33,-1.1878335406612663,115,1,/home/basantab/NTF2_project/20181119_GenerativeAlgorithm40Kbbs/121_or_less_aas/AAFPICGK_BasicBeNTF2_designed_0000.pdb,4.54796838760376,18.451541900634766
den_AAGIHBDV,65.44785529297616,2,25.295821012766883,19.201828454248716,3,2,3,6,1.1675133429135798,120,1,/home/basantab/NTF2_project/20181119_GenerativeAlgorithm40Kbbs/121_or_less_aas/AAGIHBDV_BasicBeNTF2_designed_0000.pdb,10.492945671081543,-35.70632553100586
