,gly_resc_score,Opening,has_cHelix,all_buns,hx_sc,h1_len,BuriedHyphobSAperRes,ExtendedE6,CurvedLongArm,prot,gly_resc_nres,score_res_betacart,base_width,short_arm_l,H3_len,non_ala_hyphob_percent,Net_charge,long_arm_l,Second_b_place,pocket_vol,scaffold_len,E3_MainBulgeCurve,sc_buns,Second_bulge_E3,av_strand_hb,sspred,hairpin_len,dist,trp_lock_score,long_arm_ang,shoot
AABVZFPO_BasicBeNTF2_designed_0000.pdb,-2.48096,1,0.0,7.0,0.752324,19.0,74.3251,0.0,0.0,-8.08597806835309,1.0,-3.70225,3.0,2.0,15.0,46.7,-5.0,2.0,0.0,144.000051498,113,3.0,4.0,0.0,-1.19557,0.249645,4.0,17.73651770187478,-7.48117,72.1899696044878,21.98103831237836
AACNAHSU_BasicBeNTF2_designed_0000.pdb,-2.33891,1,0.0,11.0,0.738109,19.0,67.3361,0.0,0.0,-0.4686507008675811,1.0,-3.666,3.0,2.0,10.0,50.0,-6.0,3.0,1.0,301.000107646,111,2.0,9.0,1.0,-1.11888,0.415047,4.0,19.75160707323212,-10.8087,40.46063682526728,57.17893370692755
AAFUOFSR_BasicBeNTF2_designed_0000.pdb,-2.37391,1,0.0,1.0,0.757531,19.0,75.2526,0.0,0.0,-5.813680086340174,1.0,-3.6775,5.0,1.0,14.0,35.7,-7.0,3.0,0.0,546.0,115,3.0,0.0,0.0,-1.1487,0.225379,4.0,25.96389450909774,0.0,86.62564946438357,18.58679794466704
AAIOSVIP_BasicBeNTF2_designed_0000.pdb,0.0,1,0.0,4.0,0.763137,19.0,74.3571,0.0,0.0,-6.346957754056044,0.0,-3.93958,3.0,2.0,15.0,33.3,-4.0,3.0,0.0,577.0,117,2.0,3.0,0.0,-1.194,0.293179,4.0,25.23806957138725,-13.1063,99.60596966930524,38.32241570864679
AAJALLCA_BasicBeNTF2_designed_0000.pdb,-1.14197,1,0.0,5.0,0.703463,19.0,65.4753,0.0,0.0,-9.742149138732223,1.0,-3.3707,3.0,2.0,15.0,40.0,-5.0,2.0,0.0,165.999940634,113,3.0,3.0,0.0,-1.22025,1.0,4.0,20.11154353763569,-2.35625,107.14681847264137,34.35749952105027
AAJPIPXA_BasicBeNTF2_designed_0000.pdb,0.0,1,0.0,5.0,0.704879,19.0,75.6804,0.0,0.0,-10.55161941680314,0.0,-3.89836,3.0,2.0,15.0,53.3,-9.0,2.0,0.0,195.0,111,1.0,3.0,0.0,-1.25574,0.174627,4.0,22.043960364096016,-9.30722,125.87144663013707,55.20319078970127
AALMXQZH_BasicBeNTF2_designed_0000.pdb,-3.6191,1,0.0,6.0,0.732826,19.0,71.4914,0.0,0.0,0.5641155322093425,2.0,-3.94652,5.0,1.0,10.0,50.0,-5.0,3.0,1.0,206.0,115,3.0,2.0,1.0,-1.16517,0.302096,6.0,20.003515943059252,0.0,28.292373236305234,64.22846267199334
AALUAODJ_BasicBeNTF2_designed_0000.pdb,0.0,1,0.0,7.0,0.743418,19.0,71.088,1.0,0.0,-10.021823187377128,0.0,-3.50057,5.0,1.0,15.0,60.0,-4.0,2.0,0.0,245.0,113,1.0,4.0,0.0,-1.2182,0.299608,4.0,26.8523301757833,0.0,117.42665072699428,50.92870516797001
AANFXEBO_BasicBeNTF2_designed_0000.pdb,0.0,1,0.0,3.0,0.749816,19.0,67.981,0.0,0.0,-10.40830156728736,0.0,-3.56073,3.0,2.0,15.0,40.0,-4.0,2.0,0.0,112.0,111,1.0,1.0,0.0,-1.10532,0.320494,4.0,23.061189198302905,-5.3525,113.77196352088569,45.71146609030322
AANJLMUJ_BasicBeNTF2_designed_0000.pdb,0.0,1,0.0,6.0,0.749938,19.0,72.9042,0.0,0.0,-8.31252310262666,0.0,-3.78044,5.0,2.0,15.0,33.3,-8.0,2.0,0.0,209.0,119,3.0,4.0,0.0,-1.2003,0.227517,4.0,23.14370949398071,-7.18454,97.49615723164925,33.92763379467786
AARQJDRE_BasicBeNTF2_designed_0000.pdb,0.0,1,0.0,12.0,0.667174,19.0,63.4281,0.0,0.0,-4.256824836823686,0.0,-3.54754,3.0,2.0,15.0,40.0,-5.0,3.0,0.0,84.0000300407,117,3.0,10.0,0.0,-1.181,0.26097,4.0,23.03262957624404,-8.68924,84.04811792820651,26.280200787718172
AASWTTNJ_BasicBeNTF2_designed_0000.pdb,0.0,1,0.0,1.0,0.7005,19.0,71.6608,0.0,0.0,0.9746776052631816,0.0,-3.82028,3.0,2.0,10.0,40.0,-3.0,4.0,0.0,344.0,119,3.0,1.0,0.0,-1.11675,0.31266,4.0,26.08619194917046,-12.2572,70.8011501492081,20.14306406521166
AAYJQLHD_BasicBeNTF2_designed_0000.pdb,0.0,1,0.0,4.0,0.746164,19.0,69.2372,0.0,0.0,-8.033890960842939,0.0,-3.79681,5.0,1.0,15.0,46.7,-4.0,2.0,0.0,137.0,111,3.0,3.0,0.0,-1.23112,0.258487,4.0,23.393461108612478,0.0,96.81451267924228,39.59539264001367
AAZHDOOO_BasicBeNTF2_designed_0000.pdb,0.0,1,0.0,3.0,0.778657,19.0,73.548,1.0,0.0,-9.69630245073224,0.0,-3.91163,5.0,1.0,15.0,46.7,-3.0,2.0,0.0,156.0,117,1.0,2.0,0.0,-1.23534,0.299085,6.0,25.616925794716472,0.0,103.95405511364153,39.03575722924441
AAZHGUTV_BasicBeNTF2_designed_0000.pdb,0.0,1,0.0,6.0,0.705542,19.0,61.9422,0.0,0.0,-0.2802227290361934,0.0,-3.67535,3.0,2.0,10.0,20.0,-6.0,3.0,1.0,90.0,111,3.0,4.0,1.0,-1.08674,0.446298,4.0,18.027838363621726,-13.2889,23.108363864299026,71.73980457979914
ABAHTAAB_BasicBeNTF2_designed_0000.pdb,-2.6293,1,0.0,5.0,0.788121,19.0,72.5496,0.0,0.0,0.29015768786321416,1.0,-3.77535,3.0,2.0,10.0,50.0,-4.0,3.0,1.0,260.0,111,3.0,3.0,1.0,-1.15603,0.239519,4.0,17.614692951352993,-9.66813,26.556654167921987,71.12255457779338
ABCFRKGJ_BasicBeNTF2_designed_0000.pdb,-4.11754,1,0.0,6.0,0.722451,19.0,77.6889,0.0,0.0,-0.49411983156835326,1.0,-3.83316,3.0,2.0,14.0,35.7,-5.0,3.0,1.0,233.0,115,2.0,2.0,1.0,-1.18623,0.272871,4.0,22.88598911608108,-11.145,50.96826117042027,67.66262095784745
ABCMZLGM_BasicBeNTF2_designed_0000.pdb,-3.4315,1,0.0,6.0,0.706311,19.0,66.5986,0.0,1.0,-4.268948083243668,1.0,-3.87069,5.0,1.0,15.0,26.7,-3.0,3.0,0.0,307.000109792,117,3.0,3.0,0.0,-1.2749,0.271886,4.0,23.699953561037177,0.0,54.699147575934454,35.31051808114546
ABETSCQE_BasicBeNTF2_designed_0000.pdb,0.0,1,0.0,5.0,0.70702,19.0,62.6267,0.0,0.0,-9.1535263273215,0.0,-3.75226,5.0,1.0,15.0,26.7,-3.0,2.0,0.0,74.0,111,1.0,3.0,0.0,-1.17484,0.162274,4.0,25.870224289359474,0.0,108.58152335640304,48.58556329115464
ABHHGGSL_BasicBeNTF2_designed_0000.pdb,-4.54682,1,0.0,5.0,0.749075,19.0,64.4853,0.0,0.0,0.031526554673023455,2.0,-3.76784,3.0,2.0,10.0,30.0,-3.0,3.0,1.0,298.999893069,111,2.0,2.0,1.0,-1.17182,0.300934,4.0,20.050614459107084,-11.7514,44.73918498619512,60.8887166962613
ABKIZWWJ_BasicBeNTF2_designed_0000.pdb,-2.70206,1,0.0,6.0,0.765025,19.0,65.3121,0.0,0.0,-8.446627532874238,1.0,-3.98408,5.0,1.0,11.0,54.5,-8.0,2.0,0.0,77.0000275374,107,3.0,3.0,0.0,-1.23321,0.268228,4.0,22.507909091296554,0.0,82.81572075194218,23.548476471194874
